Player,Year,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Justin Anderson,2016,208,29,132.0,19.0,25.0,71,175,647.0,55,22.0,83.0,49,92
Thanasis Antetokounmpo,2016,6,0,1.0,0.0,0.0,3,4,6.0,2,0.0,1.0,3,3
Keith Appling,2016,6,1,1.0,1.0,0.0,2,8,27.0,5,0.0,3.0,2,5
Nemanja Bjelica,2016,308,83,210.0,26.0,21.0,110,235,1075.0,60,48.0,125.0,62,110
Devin Booker,2016,1048,200,187.0,44.0,20.0,367,867,2108.0,76,99.0,289.0,268,578
Anthony Brown,2016,115,19,70.0,14.0,5.0,39,126,599.0,29,20.0,70.0,19,56
Willie Cauley-Stein,2016,463,37,352.0,48.0,66.0,191,339,1412.0,66,0.0,2.0,191,337
Rakeem Christmas,2016,4,0,1.0,0.0,0.0,2,2,6.0,1,0.0,0.0,2,2
Coty Clarke,2016,6,0,1.0,0.0,0.0,2,4,6.0,3,2.0,2.0,0,2
Pat Connaughton,2016,36,10,32.0,2.0,0.0,13,49,143.0,34,5.0,21.0,8,28
Branden Dawson,2016,5,0,4.0,0.0,1.0,2,5,29.0,6,0.0,0.0,2,5
Bryce Dejean-Jones,2016,79,15,48.0,10.0,2.0,28,69,279.0,14,12.0,32.0,16,37
Sam Dekker,2016,0,0,1.0,1.0,0.0,0,0,6.0,3,0.0,0.0,0,0
Duje Dukan,2016,6,1,4.0,1.0,0.0,2,10,24.0,1,2.0,5.0,0,5
Jarell Eddie,2016,63,5,23.0,5.0,1.0,20,65,147.0,26,15.0,47.0,5,18
Cristiano Felicio,2016,105,26,102.0,6.0,13.0,40,72,321.0,31,0.0,4.0,40,68
Jerian Grant,2016,426,177,143.0,50.0,10.0,154,391,1265.0,76,22.0,100.0,132,291
Montrezl Harrell,2016,140,17,65.0,11.0,11.0,58,90,379.0,39,0.0,1.0,58,89
Aaron Harrison,2016,18,2,15.0,6.0,0.0,5,19,93.0,21,3.0,10.0,2,9
Mario Hezonja,2016,478,109,176.0,39.0,17.0,181,418,1413.0,79,67.0,192.0,114,226
Darrun Hilliard,2016,152,27,45.0,9.0,1.0,52,131,383.0,38,19.0,50.0,33,81
Rondae Hollis-Jefferson,2016,167,43,154.0,39.0,16.0,63,138,615.0,29,4.0,14.0,59,124
Richaun Holmes,2016,287,33,135.0,19.0,40.0,114,222,702.0,51,8.0,44.0,106,178
Marcelo Huertas,2016,237,182,90.0,26.0,7.0,97,230,869.0,53,16.0,61.0,81,169
Josh Huestis,2016,14,0,10.0,1.0,2.0,5,12,55.0,5,4.0,6.0,1,6
R.J. Hunter,2016,97,13,37.0,14.0,4.0,36,98,315.0,36,19.0,63.0,17,35
Damien Inglis,2016,36,10,31.0,6.0,3.0,13,37,156.0,20,3.0,13.0,10,24
Stanley Johnson,2016,593,118,306.0,55.0,12.0,225,600,1687.0,73,63.0,205.0,162,395
Nikola Jokic,2016,796,189,560.0,79.0,50.0,307,600,1733.0,80,28.0,84.0,279,516
Tyus Jones,2016,156,108,47.0,31.0,3.0,56,156,573.0,37,16.0,53.0,40,103
Frank Kaminsky,2016,606,98,335.0,38.0,43.0,215,525,1708.0,81,68.0,202.0,147,323
Sasha Kaun,2016,23,3,26.0,4.0,5.0,9,17,95.0,25,0.0,0.0,9,17
Kevon Looney,2016,9,0,10.0,0.0,0.0,4,7,21.0,5,1.0,2.0,3,5
Trey Lyles,2016,488,59,299.0,26.0,18.0,191,436,1382.0,80,49.0,128.0,142,308
Boban Marjanovic,2016,297,21,194.0,12.0,23.0,105,174,508.0,54,0.0,0.0,105,174
Jarell Martin,2016,153,15,86.0,8.0,7.0,54,116,380.0,27,0.0,2.0,54,114
T.J. McConnell,2016,493,367,250.0,95.0,10.0,218,464,1606.0,81,31.0,89.0,187,375
Chris McCullough,2016,112,9,68.0,28.0,12.0,44,109,362.0,24,13.0,34.0,31,75
Jordan McRae,2016,99,25,20.0,3.0,1.0,34,78,195.0,22,10.0,22.0,24,56
Salah Mejri,2016,125,10,123.0,8.0,36.0,49,78,397.0,34,0.0,1.0,49,77
Jordan Mickey,2016,21,1,13.0,0.0,11.0,8,22,57.0,16,0.0,0.0,8,22
Luis Montero,2016,14,1,4.0,0.0,0.0,5,19,42.0,12,1.0,9.0,4,10
Emmanuel Mudiay,2016,872,372,232.0,65.0,35.0,329,905,2068.0,68,74.0,232.0,255,673
Xavier Munford,2016,80,22,31.0,13.0,3.0,32,77,244.0,14,9.0,23.0,23,54
Raul Neto,2016,476,174,120.0,62.0,2.0,180,418,1499.0,81,64.0,162.0,116,256
J.J. O'Brien,2016,0,0,1.0,1.0,0.0,0,1,6.0,2,0.0,0.0,0,1
Jahlil Okafor,2016,928,65,373.0,22.0,61.0,397,781,1591.0,53,1.0,6.0,396,775
Kelly Oubre,2016,236,13,133.0,22.0,7.0,90,211,671.0,63,25.0,79.0,65,132
Lamar Patterson,2016,84,39,50.0,9.0,2.0,28,80,395.0,35,12.0,49.0,16,31
Cameron Payne,2016,283,108,85.0,36.0,6.0,114,278,698.0,57,36.0,111.0,78,167
Tibor Pleiss,2016,24,2,15.0,1.0,2.0,11,25,82.0,12,0.0,2.0,11,23
Bobby Portis,2016,436,52,337.0,25.0,22.0,186,436,1102.0,62,16.0,52.0,170,384
Kristaps Porzingis,2016,1028,94,526.0,53.0,134.0,373,886,2047.0,72,81.0,243.0,292,643
Norman Powell,2016,273,47,111.0,29.0,10.0,97,229,725.0,49,36.0,89.0,61,140
Willie Reed,2016,182,10,122.0,6.0,30.0,76,133,426.0,39,0.0,0.0,76,133
Josh Richardson,2016,341,73,107.0,36.0,25.0,123,272,1107.0,52,53.0,115.0,70,157
Terry Rozier,2016,72,37,63.0,6.0,1.0,29,106,311.0,39,6.0,27.0,23,79
D'Angelo Russell,2016,1054,266,274.0,93.0,13.0,392,956,2259.0,80,130.0,370.0,262,586
Jonathon Simmons,2016,331,58,96.0,24.0,5.0,122,242,813.0,55,18.0,47.0,104,195
Alex Stepheson,2016,22,2,28.0,1.0,5.0,9,27,73.0,8,0.0,0.0,9,27
Walter Tavares,2016,25,3,21.0,1.0,6.0,11,19,73.0,11,0.0,0.0,11,19
Axel Toupane,2016,76,15,31.0,7.0,6.0,25,70,305.0,21,13.0,40.0,12,30
Karl-Anthony Towns,2016,1503,161,858.0,58.0,138.0,625,1153,2627.0,82,30.0,88.0,595,1065
Myles Turner,2016,619,41,332.0,25.0,86.0,264,530,1367.0,60,3.0,14.0,261,516
Rashad Vaughn,2016,217,39,88.0,29.0,16.0,81,266,1001.0,70,43.0,147.0,38,119
Briante Weber,2016,31,21,25.0,9.0,3.0,14,39,169.0,7,0.0,5.0,14,34
Alan Williams,2016,29,5,38.0,4.0,5.0,10,24,68.0,10,0.0,0.0,10,24
Justise Winslow,2016,502,117,403.0,68.0,26.0,195,462,2232.0,78,32.0,116.0,163,346
Christian Wood,2016,61,3,38.0,5.0,7.0,22,53,145.0,17,4.0,11.0,18,42
Delon Wright,2016,103,31,37.0,8.0,3.0,36,80,229.0,27,5.0,13.0,31,67
Joe Young,2016,154,65,50.0,15.0,0.0,62,169,384.0,41,10.0,46.0,52,123
Alex Abrines,2017,406,40,86.0,37.0,8.0,134,341,1055.0,68,94.0,247.0,40,94
Ron Baker,2017,215,107,98.0,34.0,8.0,82,217,857.0,52,23.0,86.0,59,131
Wade Baldwin,2017,106,61,46.0,18.0,7.0,36,115,405.0,33,3.0,22.0,33,93
Malik Beasley,2017,83,11,17.0,7.0,0.0,33,73,165.0,22,9.0,28.0,24,45
DeAndre' Bembry,2017,101,28,59.0,8.0,5.0,47,98,371.0,38,1.0,18.0,46,80
Dragan Bender,2017,146,23,103.0,10.0,22.0,57,161,574.0,43,28.0,101.0,29,60
Ben Bentil,2017,0,0,2.0,0.0,0.0,0,3,10.0,3,0.0,1.0,0,2
Davis Bertans,2017,303,46,99.0,20.0,28.0,103,234,808.0,67,69.0,173.0,34,61
Joel Bolomboy,2017,22,2,17.0,1.0,2.0,9,16,53.0,12,1.0,4.0,8,12
Malcolm Brogdon,2017,767,317,213.0,84.0,12.0,290,635,1982.0,75,78.0,193.0,212,442
Jaylen Brown,2017,515,64,220.0,35.0,18.0,192,423,1341.0,78,46.0,135.0,146,288
Nicolas Brussino,2017,150,47,95.0,17.0,8.0,52,141,521.0,54,29.0,95.0,23,46
Marquese Chriss,2017,753,60,348.0,67.0,70.0,284,632,1743.0,82,72.0,224.0,212,408
Semaj Christon,2017,183,130,88.0,28.0,6.0,77,223,973.0,64,12.0,63.0,65,160
Quinn Cook,2017,79,26,7.0,4.0,0.0,33,66,188.0,14,11.0,26.0,22,40
Deyonta Davis,2017,58,2,60.0,3.0,17.0,24,47,238.0,36,0.0,0.0,24,47
Malcolm Delaney,2017,391,193,124.0,39.0,1.0,145,388,1248.0,73,26.0,110.0,119,278
Cheick Diallo,2017,87,4,73.0,4.0,7.0,36,76,199.0,17,0.0,0.0,36,76
Kris Dunn,2017,293,188,166.0,78.0,36.0,118,313,1333.0,78,21.0,73.0,97,240
Henry Ellenson,2017,60,7,41.0,1.0,1.0,23,64,146.0,19,10.0,35.0,13,29
Joel Embiid,2017,627,66,243.0,27.0,76.0,200,429,786.0,31,36.0,98.0,164,331
Kay Felder,2017,166,58,41.0,18.0,7.0,62,158,386.0,42,7.0,22.0,55,136
Yogi Ferrell,2017,462,172,111.0,42.0,9.0,160,394,1197.0,46,68.0,176.0,92,218
Dorian Finney-Smith,2017,350,67,221.0,52.0,25.0,124,333,1642.0,81,56.0,191.0,68,142
Bryn Forbes,2017,94,23,23.0,1.0,0.0,36,99,285.0,36,17.0,53.0,19,46
Patricio Garino,2017,0,0,7.0,0.0,0.0,0,7,43.0,5,0.0,5.0,0,2
Michael Gbinije,2017,4,2,3.0,0.0,0.0,1,10,32.0,9,0.0,4.0,1,6
Marcus Georges-Hunt,2017,14,3,9.0,1.0,0.0,2,7,48.0,5,1.0,2.0,1,5
Jonathan Gibson,2017,106,26,22.0,8.0,0.0,35,95,231.0,17,15.0,45.0,20,50
Treveon Graham,2017,57,6,22.0,6.0,1.0,19,40,189.0,27,9.0,15.0,10,25
A.J. Hammons,2017,48,4,36.0,1.0,13.0,17,42,163.0,22,5.0,10.0,12,32
Andrew Harrison,2017,425,198,136.0,54.0,20.0,117,360,1474.0,72,43.0,156.0,74,204
Juan Hernangomez,2017,305,29,187.0,29.0,12.0,101,224,842.0,62,46.0,113.0,55,111
Willy Hernangomez,2017,587,96,502.0,41.0,36.0,246,465,1324.0,72,4.0,15.0,242,450
Buddy Hield,2017,866,121,269.0,38.0,9.0,327,768,1888.0,82,148.0,379.0,179,389
Danuel House,2017,0,0,1.0,0.0,0.0,0,0,1.0,1,0.0,0.0,0,0
Brandon Ingram,2017,740,166,317.0,50.0,36.0,276,686,2279.0,79,55.0,187.0,221,499
Demetrius Jackson,2017,10,3,4.0,0.0,0.0,3,4,17.0,5,1.0,1.0,2,3
Pierre Jackson,2017,35,19,9.0,2.0,0.0,13,39,84.0,8,3.0,11.0,10,28
Brice Johnson,2017,4,1,3.0,2.0,1.0,2,7,9.0,3,0.0,0.0,2,7
Damian Jones,2017,19,0,23.0,1.0,4.0,8,16,85.0,10,0.0,0.0,8,16
Derrick Jones,2017,168,12,79.0,14.0,13.0,68,121,545.0,32,3.0,11.0,65,110
Mindaugas Kuzminskas,2017,425,69,126.0,29.0,11.0,158,369,1016.0,68,54.0,168.0,104,201
Skal Labissiere,2017,289,27,162.0,16.0,13.0,117,218,612.0,33,3.0,8.0,114,210
Nicolas Laprovittola,2017,59,28,10.0,4.0,1.0,20,47,174.0,18,10.0,27.0,10,20
Jake Layman,2017,78,11,24.0,9.0,3.0,26,89,249.0,35,13.0,51.0,13,38
Caris LeVert,2017,468,110,188.0,49.0,8.0,171,380,1237.0,57,59.0,184.0,112,196
Shawn Long,2017,148,13,85.0,9.0,9.0,61,109,234.0,18,7.0,19.0,54,90
Timothe Luwawu-Cabarrot,2017,445,75,149.0,32.0,10.0,145,361,1190.0,69,50.0,161.0,95,200
Thon Maker,2017,226,23,114.0,10.0,26.0,83,181,562.0,57,28.0,74.0,55,107
Patrick McCaw,2017,282,77,101.0,32.0,15.0,106,245,1074.0,71,41.0,123.0,65,122
Sheldon McClellan,2017,90,15,34.0,8.0,2.0,30,75,287.0,30,7.0,30.0,23,45
Rodney McGruder,2017,497,124,257.0,45.0,18.0,190,460,1966.0,78,73.0,220.0,117,240
Dejounte Murray,2017,130,48,42.0,8.0,6.0,50,116,322.0,38,9.0,23.0,41,93
Jamal Murray,2017,811,170,214.0,52.0,24.0,295,730,1764.0,82,115.0,344.0,180,386
Maurice Ndour,2017,98,8,64.0,15.0,8.0,39,86,331.0,32,1.0,7.0,38,79
Georges Niang,2017,21,5,17.0,3.0,0.0,9,36,93.0,23,1.0,12.0,8,24
David Nwaba,2017,120,14,62.0,13.0,7.0,47,81,397.0,20,1.0,5.0,46,76
Daniel Ochefu,2017,24,3,22.0,2.0,0.0,12,27,75.0,19,0.0,0.0,12,27
Chinanu Onuaku,2017,14,3,10.0,3.0,1.0,5,7,52.0,5,0.0,0.0,5,7
Georgios Papagiannis,2017,124,20,86.0,3.0,17.0,56,102,355.0,22,0.0,2.0,56,100
Gary Payton,2017,20,13,12.0,3.0,4.0,8,22,99.0,6,1.0,9.0,7,13
Marshall Plumlee,2017,40,10,51.0,4.0,4.0,16,30,170.0,21,0.0,0.0,16,30
Jakob Poeltl,2017,165,12,165.0,17.0,20.0,67,115,626.0,54,0.0,0.0,67,115
Alex Poythress,2017,64,5,29.0,3.0,2.0,25,54,157.0,6,6.0,19.0,19,35
Tim Quarterman,2017,31,11,14.0,2.0,3.0,13,29,80.0,16,5.0,13.0,8,16
Chasson Randle,2017,137,34,32.0,9.0,2.0,40,98,299.0,26,16.0,47.0,24,51
Malachi Richardson,2017,79,11,23.0,5.0,1.0,28,68,198.0,22,8.0,28.0,20,40
Domantas Sabonis,2017,479,82,287.0,39.0,32.0,192,481,1632.0,81,51.0,159.0,141,322
Dario Saric,2017,1040,182,513.0,57.0,30.0,381,927,2129.0,81,106.0,341.0,275,586
Tomas Satoransky,2017,154,92,83.0,26.0,6.0,61,146,719.0,57,9.0,37.0,52,109
Wayne Selden,2017,71,13,16.0,6.0,1.0,25,58,236.0,14,7.0,28.0,18,30
Pascal Siakam,2017,229,17,185.0,26.0,45.0,103,205,859.0,55,1.0,7.0,102,198
Diamond Stone,2017,10,0,6.0,0.0,1.0,3,13,24.0,7,0.0,0.0,3,13
Edy Tavares,2017,8,1,11.0,0.0,6.0,4,5,28.0,2,0.0,0.0,4,5
Isaiah Taylor,2017,3,3,3.0,1.0,1.0,1,7,52.0,4,0.0,2.0,1,5
Mike Tobey,2017,2,1,3.0,0.0,0.0,1,4,25.0,2,0.0,0.0,1,4
Tyler Ulis,2017,444,226,95.0,48.0,5.0,184,437,1123.0,61,21.0,79.0,163,358
Jarrod Uthoff,2017,40,9,22.0,2.0,4.0,16,38,115.0,9,3.0,9.0,13,29
Denzel Valentine,2017,291,63,151.0,30.0,7.0,102,288,976.0,57,73.0,208.0,29,80
Fred VanVleet,2017,107,35,42.0,17.0,2.0,39,111,294.0,37,11.0,29.0,28,82
Taurean Waller-Prince,2017,335,55,157.0,43.0,27.0,114,285,981.0,59,33.0,102.0,81,183
Okaro White,2017,98,21,82.0,10.0,10.0,33,87,471.0,35,12.0,34.0,21,53
Isaiah Whitehead,2017,543,192,184.0,42.0,36.0,204,508,1643.0,73,44.0,149.0,160,359
Troy Williams,2017,185,25,69.0,27.0,10.0,73,167,557.0,30,18.0,62.0,55,105
Kyle Wiltjer,2017,13,2,10.0,3.0,1.0,4,14,44.0,14,4.0,13.0,0,1
Stephen Zimmerman,2017,23,4,35.0,2.0,5.0,10,31,108.0,19,0.0,0.0,10,31
Paul Zipser,2017,240,36,125.0,15.0,16.0,88,221,843.0,44,33.0,99.0,55,122
Ivica Zubac,2017,284,30,159.0,14.0,33.0,126,238,609.0,38,0.0,3.0,126,235
Ãlex Abrines,2018,353,28,114.0,38.0,8.0,115,291,1134.0,75,84.0,221.0,31,70
Bam Adebayo,2018,477,101,381.0,32.0,41.0,174,340,1368.0,69,0.0,7.0,174,333
Jarrett Allen,2018,587,49,388.0,28.0,88.0,234,397,1441.0,72,5.0,15.0,229,382
Kadeem Allen,2018,19,12,11.0,3.0,2.0,6,22,107.0,18,0.0,11.0,6,11
Ike Anigbogu,2018,13,0,9.0,1.0,3.0,4,9,30.0,11,0.0,0.0,4,9
OG Anunoby,2018,438,55,184.0,52.0,14.0,163,346,1481.0,74,73.0,197.0,90,149
Ryan Arcidiacono,2018,48,35,25.0,13.0,0.0,17,41,304.0,24,9.0,31.0,8,10
Jamel Artis,2018,77,18,38.0,2.0,3.0,31,79,279.0,15,8.0,29.0,23,50
Ãmer AÅÄ±k,2018,22,3,47.0,2.0,4.0,9,22,182.0,18,0.0,0.0,9,22
Dwayne Bacon,2018,175,38,124.0,16.0,2.0,72,192,713.0,53,11.0,43.0,61,149
Lonzo Ball,2018,528,376,360.0,88.0,43.0,203,564,1780.0,52,90.0,295.0,113,269
Jordan Bell,2018,262,102,207.0,35.0,56.0,116,185,809.0,57,0.0,4.0,116,181
DÄvis BertÄns,2018,456,74,153.0,26.0,28.0,161,366,1086.0,77,94.0,252.0,67,114
Khem Birch,2018,178,34,180.0,15.0,21.0,68,126,578.0,42,0.0,0.0,68,126
Jabari Bird,2018,39,8,19.0,3.0,1.0,15,26,115.0,13,3.0,7.0,12,19
Antonio Blakeney,2018,151,20,33.0,7.0,1.0,53,143,314.0,19,15.0,52.0,38,91
Bogdan BogdanoviÄ,2018,917,258,223.0,72.0,16.0,344,772,2175.0,78,129.0,329.0,215,443
Bojan BogdanoviÄ,2018,1141,119,270.0,55.0,8.0,404,852,2464.0,80,155.0,386.0,249,466
Chris Boucher,2018,0,0,1.0,0.0,0.0,0,1,1.0,1,0.0,1.0,0,0
Tony Bradley,2018,8,1,11.0,0.0,0.0,3,11,29.0,9,0.0,1.0,3,10
Dillon Brooks,2018,898,135,257.0,73.0,17.0,340,772,2350.0,82,94.0,264.0,246,508
Sterling Brown,2018,217,25,143.0,31.0,13.0,82,205,776.0,54,32.0,91.0,50,114
NicolÃ¡s Brussino,2018,0,0,3.0,0.0,0.0,0,2,10.0,4,0.0,2.0,0,0
Thomas Bryant,2018,22,6,17.0,1.0,2.0,8,21,72.0,15,1.0,10.0,7,11
JosÃ© CalderÃ³n,2018,255,117,84.0,27.0,2.0,93,185,914.0,57,45.0,97.0,48,88
Alex Caruso,2018,134,75,65.0,23.0,10.0,50,116,562.0,37,13.0,43.0,37,73
Tyler Cavanaugh,2018,183,27,127.0,9.0,4.0,67,152,518.0,39,32.0,89.0,35,63
Gian Clavell,2018,20,3,7.0,2.0,0.0,6,18,64.0,7,6.0,15.0,0,3
Antonius Cleveland,2018,23,2,14.0,7.0,5.0,8,21,123.0,17,3.0,4.0,5,17
John Collins,2018,777,98,541.0,47.0,80.0,314,545,1785.0,74,16.0,47.0,298,498
Zach Collins,2018,292,52,221.0,17.0,31.0,115,289,1045.0,66,35.0,113.0,80,176
Kyle Collinsworth,2018,101,56,107.0,17.0,9.0,38,99,480.0,32,4.0,17.0,34,82
Charles Cooke,2018,6,1,2.0,1.0,0.0,2,14,38.0,13,1.0,8.0,1,6
Matt Costello,2018,4,2,9.0,2.0,2.0,2,4,32.0,4,0.0,0.0,2,4
Torrey Craig,2018,163,25,127.0,12.0,15.0,62,137,629.0,39,17.0,58.0,45,79
Tyler Dorsey,2018,405,79,130.0,17.0,5.0,144,382,974.0,56,72.0,199.0,72,183
Damyean Dotson,2018,182,31,84.0,12.0,2.0,72,161,474.0,44,22.0,68.0,50,93
Milton Doyle,2018,34,10,18.0,6.0,2.0,13,47,125.0,10,4.0,23.0,9,24
PJ Dozier,2018,2,0,1.0,0.0,0.0,1,2,3.0,2,0.0,0.0,1,2
Goran DragiÄ,2018,1296,359,306.0,63.0,12.0,484,1075,2378.0,75,111.0,300.0,373,775
Larry Drew II,2018,17,10,3.0,0.0,0.0,7,24,70.0,10,3.0,9.0,4,15
James Ennis III,2018,512,71,224.0,47.0,18.0,182,384,1604.0,72,51.0,153.0,131,231
Jawun Evans,2018,231,100,84.0,36.0,6.0,89,253,778.0,48,15.0,54.0,74,199
Cristiano FelÃ­cio,2018,308,55,233.0,16.0,11.0,127,215,977.0,55,0.0,2.0,127,213
Terrance Ferguson,2018,189,19,47.0,24.0,10.0,70,169,763.0,61,40.0,120.0,30,49
De'Aaron Fox,2018,844,320,204.0,70.0,20.0,328,797,2026.0,73,47.0,153.0,281,644
Enes Freedom,2018,1000,105,780.0,36.0,37.0,422,713,1830.0,71,0.0,2.0,422,711
Markelle Fultz,2018,100,53,43.0,12.0,4.0,45,111,253.0,14,0.0,1.0,45,110
Manu GinÃ³bili*,2018,576,163,142.0,43.0,16.0,201,463,1299.0,65,64.0,192.0,137,271
Josh Gray,2018,32,12,10.0,8.0,2.0,11,41,86.0,5,3.0,13.0,8,28
Daniel Hamilton,2018,12,8,5.0,1.0,0.0,5,11,28.0,6,2.0,5.0,3,6
Tim Hardaway Jr.,2018,996,155,224.0,62.0,10.0,360,856,1885.0,57,130.0,410.0,230,446
Shaquille Harrison,2018,152,55,61.0,26.0,7.0,59,124,384.0,23,6.0,26.0,53,98
Josh Hart,2018,496,80,263.0,47.0,16.0,176,375,1461.0,63,78.0,197.0,98,178
Nigel Hayes,2018,27,6,22.0,2.0,3.0,11,33,122.0,9,4.0,16.0,7,17
Reggie Hearn,2018,3,0,0.0,0.0,0.0,1,2,7.0,3,1.0,2.0,0,0
Myke Henry,2018,107,22,38.0,31.0,6.0,41,109,378.0,20,19.0,58.0,22,51
Juancho HernangÃ³mez,2018,82,12,54.0,6.0,3.0,29,75,277.0,25,14.0,50.0,15,25
Willy HernangÃ³mez,2018,246,33,183.0,18.0,16.0,91,164,495.0,48,5.0,12.0,86,152
Isaiah Hicks,2018,80,16,41.0,2.0,4.0,33,72,240.0,18,2.0,9.0,31,63
NenÃª,2018,340,45,176.0,28.0,14.0,136,239,758.0,52,0.0,2.0,136,237
John Holland,2018,54,5,24.0,7.0,2.0,17,59,174.0,24,11.0,36.0,6,23
Danuel House Jr.,2018,152,25,76.0,7.0,6.0,56,129,403.0,23,15.0,58.0,41,71
Vince Hunter,2018,6,0,3.0,0.0,1.0,3,5,7.0,4,0.0,0.0,3,5
Ersan Ä°lyasova,2018,750,90,405.0,61.0,26.0,277,613,1729.0,69,91.0,253.0,186,360
Andre Ingram,2018,24,7,6.0,3.0,3.0,8,17,64.0,2,5.0,9.0,3,8
Jonathan Isaac,2018,145,18,99.0,33.0,30.0,55,145,536.0,27,16.0,46.0,39,99
Wes Iwundu,2018,229,57,137.0,33.0,12.0,93,218,1020.0,62,9.0,46.0,84,172
Aaron Jackson,2018,8,1,3.0,0.0,0.0,3,9,35.0,1,1.0,4.0,2,5
Josh Jackson,2018,1012,119,351.0,80.0,35.0,389,932,1959.0,77,57.0,217.0,332,715
Justin Jackson,2018,453,74,187.0,28.0,13.0,185,419,1506.0,68,57.0,185.0,128,234
Dakari Johnson,2018,55,8,34.0,6.0,8.0,22,39,161.0,31,0.0,0.0,22,39
Omari Johnson,2018,22,7,11.0,2.0,0.0,9,21,75.0,4,4.0,12.0,5,9
Nikola JokiÄ,2018,1385,458,803.0,90.0,61.0,504,1010,2443.0,75,111.0,280.0,393,730
Derrick Jones Jr.,2018,61,9,38.0,4.0,13.0,21,53,245.0,20,3.0,18.0,18,35
Jalen Jones,2018,74,4,38.0,5.0,1.0,26,68,181.0,16,10.0,26.0,16,42
Luke Kennard,2018,558,124,176.0,44.0,13.0,206,465,1463.0,73,81.0,195.0,125,270
Maxi Kleber,2018,386,51,234.0,26.0,47.0,151,309,1206.0,72,40.0,128.0,111,181
Furkan Korkmaz,2018,23,4,11.0,2.0,1.0,8,28,80.0,14,5.0,17.0,3,11
Luke Kornet,2018,134,26,64.0,6.0,16.0,49,125,326.0,20,28.0,79.0,21,46
Kyle Kuzma,2018,1242,141,483.0,49.0,34.0,468,1039,2401.0,77,159.0,434.0,309,605
Skal LabissiÃ¨re,2018,523,72,288.0,25.0,49.0,205,458,1240.0,60,18.0,51.0,187,407
T.J. Leaf,2018,156,9,82.0,5.0,4.0,64,136,459.0,53,18.0,42.0,46,94
Damion Lee,2018,161,29,71.0,19.0,1.0,62,152,404.0,15,15.0,60.0,47,92
Walt Lemon Jr.,2018,17,5,2.0,0.0,1.0,7,16,35.0,5,1.0,1.0,6,15
TimothÃ© Luwawu-Cabarrot,2018,299,54,72.0,12.0,5.0,100,267,807.0,52,53.0,158.0,47,109
Tyler Lydon,2018,0,0,0.0,0.0,0.0,0,0,2.0,1,0.0,0.0,0,0
Josh Magette,2018,46,57,19.0,8.0,1.0,15,46,216.0,18,8.0,22.0,7,24
Boban MarjanoviÄ,2018,235,22,144.0,10.0,11.0,79,148,337.0,39,0.0,0.0,79,148
Lauri Markkanen,2018,1033,79,508.0,39.0,40.0,374,862,2020.0,68,145.0,401.0,229,461
Frank Mason III,2018,413,147,130.0,34.0,10.0,144,380,984.0,52,31.0,86.0,113,294
Mangok Mathiang,2018,8,0,10.0,1.0,0.0,4,7,20.0,4,0.0,0.0,4,7
Luc Mbah a Moute,2018,460,55,186.0,72.0,25.0,166,345,1564.0,61,63.0,173.0,103,172
James Michael McAdoo,2018,8,0,2.0,0.0,1.0,2,7,18.0,3,2.0,7.0,0,0
CJ McCollum,2018,1732,272,321.0,77.0,35.0,667,1505,2923.0,81,189.0,476.0,478,1029
Erik McCree,2018,0,0,1.0,1.0,0.0,0,2,8.0,4,0.0,1.0,0,1
Trey McKinney-Jones,2018,0,0,0.0,0.0,0.0,0,0,1.0,1,0.0,0.0,0,0
Alfonzo McKinnie,2018,21,1,7.0,1.0,1.0,8,15,53.0,14,3.0,9.0,5,6
Malcolm Miller,2018,38,3,15.0,1.0,2.0,13,28,126.0,15,8.0,21.0,5,7
Nikola MirotiÄ,2018,859,80,405.0,44.0,39.0,306,684,1494.0,55,135.0,358.0,171,326
Donovan Mitchell,2018,1616,291,296.0,118.0,27.0,595,1362,2638.0,79,187.0,550.0,408,812
Naz Mitrou-Long,2018,3,0,0.0,0.0,0.0,1,1,1.0,1,1.0,1.0,0,0
Malik Monk,2018,421,91,66.0,20.0,9.0,153,425,854.0,63,83.0,243.0,70,182
Ben Moore,2018,0,1,1.0,0.0,0.0,0,0,9.0,2,0.0,0.0,0,0
Jaylen Morris,2018,28,7,16.0,2.0,1.0,13,32,98.0,6,2.0,10.0,11,22
Monte Morris,2018,10,7,2.0,3.0,0.0,4,6,25.0,3,0.0,1.0,4,5
Johnathan Motley,2018,96,7,49.0,3.0,2.0,40,75,176.0,11,1.0,6.0,39,69
Abdel Nader,2018,146,26,71.0,15.0,10.0,50,149,522.0,48,23.0,65.0,27,84
Larry Nance Jr.,2018,573,82,452.0,88.0,38.0,240,413,1421.0,66,2.0,12.0,238,401
Frank Ntilikina,2018,463,250,177.0,65.0,18.0,182,500,1706.0,78,50.0,157.0,132,343
Jusuf NurkiÄ,2018,1132,143,708.0,64.0,111.0,480,951,2088.0,79,0.0,7.0,480,944
Royce O'Neale,2018,343,95,236.0,36.0,16.0,120,284,1150.0,69,42.0,118.0,78,166
Semi Ojeleye,2018,195,20,161.0,21.0,4.0,65,188,1150.0,73,40.0,125.0,25,63
Cedi Osman,2018,238,41,120.0,22.0,3.0,90,186,672.0,61,32.0,87.0,58,99
Kelly Oubre Jr.,2018,953,98,363.0,80.0,35.0,318,790,2231.0,81,126.0,369.0,192,421
